Parent_type;Child_type;Parent;Child;child_inheritable_state_id
7;2;1;1;
7;2;1;2;
7;2;1;3;
7;2;1;4;
7;2;1;5;
7;2;1;6;
7;2;1;7;
7;2;1;8;
7;2;1;9;
7;2;1;10;
7;2;1;11;
7;2;1;12;
7;2;1;13;
7;2;1;14;
7;2;1;15;
7;2;1;16;
7;2;1;17;
7;2;1;18;
7;2;1;19;
7;2;1;20;
7;2;1;21;
7;2;1;22;
7;2;1;23;
7;2;1;24;
7;2;1;25;
7;2;1;26;
7;2;1;27;
7;2;1;28;
7;2;1;29;
7;2;1;30;
7;2;1;31;
7;2;1;32;
7;2;1;33;
7;2;1;34;
7;2;1;35;
7;2;1;36;
7;2;1;37;
7;2;1;38;
7;2;1;39;
7;2;1;40;
7;2;1;41;
7;2;1;42;
7;2;1;43;
7;2;1;44;
7;2;1;45;
7;2;1;46;
7;2;1;47;
7;2;1;48;
7;2;1;49;
7;2;1;50;
7;2;1;51;
7;2;1;52;
7;2;1;53;
7;2;1;54;
7;2;1;55;
7;2;1;56;
7;2;1;57;
7;2;1;58;
7;2;1;59;
7;2;1;60;
7;2;1;61;
7;2;1;62;
7;2;1;63;
7;2;1;64;
7;2;1;65;
7;2;1;66;
7;2;1;67;
7;2;1;68;
7;2;1;69;
7;2;1;70;
7;2;1;71;
7;2;1;72;
7;2;1;73;
7;2;1;74;
7;2;1;75;
7;2;1;76;
7;2;1;77;
7;2;1;78;
7;2;1;79;
7;2;1;80;
7;2;1;81;
7;2;1;82;
7;2;1;83;
7;2;1;84;
7;2;1;85;
7;2;1;86;
7;2;1;87;
7;2;1;88;
7;2;1;89;
7;2;1;90;
7;2;1;91;
7;2;1;92;
7;2;1;93;
7;2;1;94;
7;2;1;95;
7;2;1;96;
7;2;1;97;
7;2;1;98;
7;2;1;99;
7;2;1;100;
