Parent_type;Child_type;Parent;Child;child_inheritable_state_id
7;25;2;2;
7;25;2;3;
7;25;2;4;
7;25;2;5;
7;25;2;6;
7;25;2;7;
7;25;2;8;
7;25;2;9;
7;25;2;10;
7;25;2;11;
7;25;2;12;
7;25;2;13;
7;25;2;14;
7;25;2;15;
7;25;2;16;
7;25;2;17;
7;25;2;18;
7;25;2;19;
7;25;2;20;
7;25;2;21;
7;25;2;22;
7;25;2;23;
7;25;2;24;
7;25;2;25;
7;25;2;26;
7;25;2;27;
7;25;2;28;
7;25;2;29;
7;25;2;30;
7;25;2;31;
7;25;2;32;
7;25;2;33;
7;25;2;34;
7;25;2;35;
7;25;2;36;
7;25;2;37;
7;25;2;38;
7;25;2;39;
7;25;2;40;
7;25;2;41;
7;25;2;42;
7;25;2;43;
7;25;2;44;
7;25;2;45;
7;25;2;46;
7;25;2;47;
7;25;2;48;
7;25;2;49;
7;25;2;50;
7;25;2;51;
7;25;2;52;
7;25;2;53;
7;25;2;54;
7;25;2;55;
7;25;2;56;
7;25;2;57;
7;25;2;58;
7;25;2;59;
7;25;2;60;
7;25;2;61;
7;25;2;62;
7;25;2;63;
7;25;2;64;
7;25;2;65;
7;25;2;66;
7;25;2;67;
7;25;2;68;
7;25;2;69;
7;25;2;70;
7;25;2;71;
7;25;2;72;
7;25;2;73;
7;25;2;74;
7;25;2;75;
7;25;2;76;
7;25;2;77;
7;25;2;78;
7;25;2;79;
7;25;2;80;
7;25;2;81;
7;25;2;82;
7;25;2;83;
7;25;2;84;
7;25;2;85;
7;25;2;86;
7;25;2;87;
7;25;2;88;
7;25;2;89;
7;25;2;90;
7;25;2;91;
7;25;2;92;
7;25;2;93;
7;25;2;94;
7;25;2;95;
7;25;2;96;
7;25;2;97;
7;25;2;98;
7;25;2;99;
7;25;2;100;
7;25;2;101;
