item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;param5_circuit_type
1;TUN-CONT-AA1-SN;Cont. 16 A,IV;TUN-CONT-AA1-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Permanente
2;TUN-CONT-AA2-SN;Cont. 16 A,IV;TUN-CONT-AA2-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Permanente
3;TUN-CONT-AA15-SN;Cont. 16 A,IV;TUN-CONT-AA15-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Permanente
4;TUN-CONT-AA16-SN;Cont. 16 A,IV;TUN-CONT-AA16-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Permanente
5;TUN-CONT-AE9-SN;Cont. 16 A,IV;TUN-CONT-AE9-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Guiado
6;TUN-CONT-A29-SN;Cont. 16 A,IV;TUN-CONT-A29-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Aproximación
7;TUN-CONT-A30-SN;Cont. 16 A,IV;TUN-CONT-A30-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Aproximación
8;TUN-CONT-A3-SN;Cont. 16 A,IV;TUN-CONT-A3-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Refuerzo
9;TUN-CONT-A5-SN;Cont. 16 A,IV;TUN-CONT-A5-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Refuerzo
10;TUN-CONT-A4-SN;Cont. 16 A,IV;TUN-CONT-A4-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Refuerzo
11;TUN-CONT-A6-SN;Cont. 16 A,IV;TUN-CONT-A6-SN;Carreterta Tunel;Carretera;172+100;SN;SendStateToIllumination.groovy;Refuerzo
12;TUN-CONT-AA10-SS;Cont. 16 A,IV;TUN-CONT-AA10-SS;Carreterta Tunel;Carretera;172+100;SS;SendStateToIllumination.groovy;Permanente
