device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
RV-CONT-A11;RV-CONT-A11;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15524;18000;824;;
RV-CONT-A13;RV-CONT-A13;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15525;18001;825;;
RV-CONT-A10;RV-CONT-A10;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15526;18002;826;;
RV-CONT-A12;RV-CONT-A12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15527;18003;827;;
RV-CONT-A4;RV-CONT-A4;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15528;18004;828;;
RV-CONT-A6;RV-CONT-A6;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15529;18005;829;;
RV-CONT-A3;RV-CONT-A3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15530;18006;830;;
RV-CONT-A5;RV-CONT-A5;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15531;18007;831;;
RV-CONT-RED-RV1;RV-CONT-RED-RV1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15532;18008;832;;
RV-CONT-RED-RV2;RV-CONT-RED-RV2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15533;18009;833;;
RV-CONT-RED-RV3;RV-CONT-RED-RV3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15534;18010;834;;
RV-CONT-AA9-SC;RV-CONT-AA9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15535;18011;835;;
RV-CONT-AA8-SC;RV-CONT-AA8-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15536;18012;836;;
RV-CONT-AA2-SM;RV-CONT-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15537;18013;837;;
RV-CONT-AA1-SM;RV-CONT-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15538;18014;838;;
RV-CONT-AE7-SM;RV-CONT-AE7-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15539;18015;839;;
RV-CONT-AE14-SC;RV-CONT-AE14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15540;18016;840;;
RV-CONT-AE15-SC;RV-CONT-AE15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15541;18017;841;;
RV-CONT-AE16-SM;RV-CONT-AE16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15542;18018;842;;
RV-CONT-A15-SC;RV-CONT-A15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15543;18019;843;;
RV-CONT-A16-SC;RV-CONT-A16-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15544;18020;844;;
RV-CONT-A17-SM;RV-CONT-A17-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-ERU;15545;18021;845;;
