item;alias;description;sessionuid;road;stretchs;pk
1;GÁLIBOS 19;GÁLIBOS 19;GÁLIBOS 19;UF 1;UF 1;0+010
2;GÁLIBOS 20;GÁLIBOS 20;GÁLIBOS 20;UF 1;UF 1;0+020
3;GÁLIBOS 21;GÁLIBOS 21;GÁLIBOS 21;UF 1;UF 1;0+030
4;GÁLIBOS 22;GÁLIBOS 22;GÁLIBOS 22;UF 1;UF 1;0+040
5;GÁLIBOS 23;GÁLIBOS 23;GÁLIBOS 23;UF 1;UF 1;0+050
6;GÁLIBOS 24;GÁLIBOS 24;GÁLIBOS 24;UF 1;UF 1;0+060
7;GÁLIBOS 25;GÁLIBOS 25;GÁLIBOS 25;UF 1;UF 1;0+070
8;GÁLIBOS 26;GÁLIBOS 26;GÁLIBOS 26;UF 1;UF 1;0+080
9;GÁLIBOS 27;GÁLIBOS 27;GÁLIBOS 27;UF 1;UF 1;0+090
10;GÁLIBOS 28;GÁLIBOS 28;GÁLIBOS 28;UF 1;UF 1;0+100
11;GÁLIBOS 29;GÁLIBOS 29;GÁLIBOS 29;UF 1;UF 1;0+110
12;GÁLIBOS 30;GÁLIBOS 30;GÁLIBOS 30;UF 1;UF 1;0+120
13;GÁLIBOS 31;GÁLIBOS 31;GÁLIBOS 31;UF 1;UF 1;0+130
14;GÁLIBOS 32;GÁLIBOS 32;GÁLIBOS 32;UF 1;UF 1;0+140
15;GÁLIBOS 33;GÁLIBOS 33;GÁLIBOS 33;UF 1;UF 1;0+150
16;GÁLIBOS 38;GÁLIBOS 38;GÁLIBOS 38;UF 1;UF 1;0+160
17;GÁLIBOS 39;GÁLIBOS 39;GÁLIBOS 39;UF 1;UF 1;0+170
18;GÁLIBOS 40;GÁLIBOS 40;GÁLIBOS 40;UF 1;UF 1;0+180
19;GÁLIBOS 45;GÁLIBOS 45;GÁLIBOS 45;UF 1;UF 1;0+190
20;GÁLIBOS 46;GÁLIBOS 46;GÁLIBOS 46;UF 1;UF 1;0+200
21;GÁLIBOS 47;GÁLIBOS 47;GÁLIBOS 47;UF 1;UF 1;0+210
22;GÁLIBOS 48;GÁLIBOS 48;GÁLIBOS 48;UF 1;UF 1;0+220
23;GÁLIBOS 49;GÁLIBOS 49;GÁLIBOS 49;UF 1;UF 1;0+230
24;GÁLIBOS 50;GÁLIBOS 50;GÁLIBOS 50;UF 1;UF 1;0+240
