device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_sos_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i);offset_vol_mic_reader(i);offset_sip(i);offset_vol_audio_reader(i);offset_test_audio_reader(i);offset_test_audio_writer(i);offset_last_day_test(i);offset_last_month_test(i);offset_last_year_test(i);offset_last_hour_test(i);offset_last_minute_test(i);offset_last_second_test(i);offset_sos_electronic_fail(i);offset_foghorn_state(i);offset_sip_register(i);offset_vol_audio_writer(i);offset_vol_mic_writer(i);offset_test_llamada(i)
S2TS-CAB-033;S2TS-CAB-033;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10255;10255;10255;10257;10255;10258;10255;10270;10259;10260;10261;10262;10263;10264;10256;10255;10255;10269;10268;10271
2E19-CAB-001;2E19-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10272;10272;10272;10274;10272;10275;10272;10287;10276;10277;10278;10279;10280;10281;10273;10272;10272;10286;10285;10288
2E19-CAB-002;2E19-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10289;10289;10289;10291;10289;10292;10289;10304;10293;10294;10295;10296;10297;10298;10290;10289;10289;10303;10302;10305
S2TN-CAB-016;S2TN-CAB-016;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10306;10306;10306;10308;10306;10309;10306;10321;10310;10311;10312;10313;10314;10315;10307;10306;10306;10320;10319;10322
S2TS-CAB-034;S2TS-CAB-034;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10323;10323;10323;10325;10323;10326;10323;10338;10327;10328;10329;10330;10331;10332;10324;10323;10323;10337;10336;10339
S2TN-CAB-015;S2TN-CAB-015;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10340;10340;10340;10342;10340;10343;10340;10355;10344;10345;10346;10347;10348;10349;10341;10340;10340;10354;10353;10356
S2TS-CAB-035;S2TS-CAB-035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10357;10357;10357;10359;10357;10360;10357;10372;10361;10362;10363;10364;10365;10366;10358;10357;10357;10371;10370;10373
2E20-CAB-001;2E20-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10374;10374;10374;10376;10374;10377;10374;10389;10378;10379;10380;10381;10382;10383;10375;10374;10374;10388;10387;10390
2E20-CAB-002;2E20-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10391;10391;10391;10393;10391;10394;10391;10406;10395;10396;10397;10398;10399;10400;10392;10391;10391;10405;10404;10407
S2TN-CAB-014;S2TN-CAB-014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10408;10408;10408;10410;10408;10411;10408;10423;10412;10413;10414;10415;10416;10417;10409;10408;10408;10422;10421;10424
S2TS-CAB-036;S2TS-CAB-036;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10425;10425;10425;10427;10425;10428;10425;10440;10429;10430;10431;10432;10433;10434;10426;10425;10425;10439;10438;10441
S2TN-CAB-013;S2TN-CAB-013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10442;10442;10442;10444;10442;10445;10442;10457;10446;10447;10448;10449;10450;10451;10443;10442;10442;10456;10455;10458
S2TS-CAB-037;S2TS-CAB-037;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10459;10459;10459;10461;10459;10462;10459;10474;10463;10464;10465;10466;10467;10468;10460;10459;10459;10473;10472;10475
2E21-CAB-001;2E21-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10476;10476;10476;10478;10476;10479;10476;10491;10480;10481;10482;10483;10484;10485;10477;10476;10476;10490;10489;10492
2E21-CAB-002;2E21-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10493;10493;10493;10495;10493;10496;10493;10508;10497;10498;10499;10500;10501;10502;10494;10493;10493;10507;10506;10509
2E21-CAB-003;2E21-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10510;10510;10510;10512;10510;10513;10510;10525;10514;10515;10516;10517;10518;10519;10511;10510;10510;10524;10523;10526
2E21-CAB-004;2E21-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10527;10527;10527;10529;10527;10530;10527;10542;10531;10532;10533;10534;10535;10536;10528;10527;10527;10541;10540;10543
S2TN-CAB-012;S2TN-CAB-012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10544;10544;10544;10546;10544;10547;10544;10559;10548;10549;10550;10551;10552;10553;10545;10544;10544;10558;10557;10560
S2TS-CAB-038;S2TS-CAB-038;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10561;10561;10561;10563;10561;10564;10561;10576;10565;10566;10567;10568;10569;10570;10562;10561;10561;10575;10574;10577
SICO-CAB-004;SICO-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10578;10578;10578;10580;10578;10581;10578;10593;10582;10583;10584;10585;10586;10587;10579;10578;10578;10592;10591;10594
