item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param9_hostname;param10_user;param11_password;param12_PTZ
1;1;TUN-TVD-1CA;TUN-TVD-1CA;TUN-TVD-1CA;Carretera Tunel;Tunel Norte;172+623;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;PTZ;;;;
2;1;TUN-TVD-1MA;TUN-TVD-1MA;TUN-TVD-1MA;Carretera Tunel;Tunel Sur;173+535;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;PTZ;;;;
3;2;TUN-TV-1CA;TUN-TV-1CA;TUN-TV-1CA;Carretera Tunel;Tunel Norte;173+492;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
4;2;TUN-TV-2CA;TUN-TV-2CA;TUN-TV-2CA;Carretera Tunel;Tunel Norte;173+417;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
5;2;TUN-TV-3CA;TUN-TV-3CA;TUN-TV-3CA;Carretera Tunel;Tunel Norte;173+340;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
6;2;TUN-TV-4CA;TUN-TV-4CA;TUN-TV-4CA;Carretera Tunel;Tunel Norte;173+265;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
7;2;TUN-TV-5CA;TUN-TV-5CA;TUN-TV-5CA;Carretera Tunel;Tunel Norte;173+187;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
8;2;TUN-TV-6CA;TUN-TV-6CA;TUN-TV-6CA;Carretera Tunel;Tunel Norte;173+110;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
9;2;TUN-TV-7CA;TUN-TV-7CA;TUN-TV-7CA;Carretera Tunel;Tunel Norte;173+035;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
10;2;TUN-TV-8CA;TUN-TV-8CA;TUN-TV-8CA;Carretera Tunel;Tunel Norte;172+957;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
