element_type;id;alias
1;01;S1TN-MET-001;
2;01;S1TN-DOM-005;
2;02;IVEN-DOM-001;
2;03;ICEP-DOM-001;
2;04;S1TS-DOM-010;
2;05;SCNO-CAM-002;
2;06;ICEO-DOM-001;
2;07;SAEB-CAM-001;
2;08;SAEB-CAM-002;
2;09;SCNO-CAM-003;
2;10;SAEB-CAM-003;
2;11;SAEB-CAM-004;
2;12;SAEB-CAM-005;
2;13;SAEB-CAM-006;
2;14;SCNO-DOM-001;
2;15;SCNO-CAM-004;
2;16;SAEB-CAM-007;
2;17;SCNO-CAM-005;
2;18;SCNO-CAM-006;
2;19;SAEB-DOM-001;
2;20;SCNO-CAM-007;
2;21;SCNO-DOM-002;
2;22;SCNO-CAM-008;
2;23;S1TS-DOM-001;
2;24;S1TS-CAM-001;
2;25;SCNO-DOM-003;
2;26;S1TS-CAM-002;
2;27;S1TS-DOM-002;
2;28;S1TN-DOM-011;
2;29;S1TS-CAM-003;
2;30;S1TS-CAM-004;
2;31;S1TS-DOM-003;
2;32;SIGO-CAM-001;
2;33;S1TS-CAM-005;
2;34;S1TN-DOM-010;
2;35;SIGO-DOM-001;
2;36;SIGO-CAM-002;
2;37;S1TS-CAM-006;
2;38;SCNO-CAM-001;
2;39;S1TS-DOM-004;
2;40;S1TS-CAM-007;
2;41;S1TS-CAM-008;
2;42;S1TN-DOM-009;
2;43;S1TS-CAM-009;
2;44;S1TS-DOM-005;
2;45;S1TS-CAM-010;
2;46;S1TS-CAM-011;
2;47;S1TS-DOM-006;
2;48;S1TS-CAM-012;
2;49;S1TN-DOM-008;
2;50;S1TS-CAM-013;
2;51;S1TS-CAM-014;
2;52;S1TS-DOM-007;
2;53;S1TS-CAM-015;
2;54;S1TN-DOM-007;
2;55;S1TS-CAM-016;
2;56;S1TS-DOM-008;
2;57;S1TN-DOM-006;
2;58;S1TS-CAM-017;
2;59;S1TS-CAM-018;
2;60;S1TS-DOM-009;
2;61;S1TS-CAM-019;
2;62;S1TS-CAM-020;
2;63;S1TS-CAM-021;
2;64;S1TN-DOM-004;
2;65;S1TS-CAM-022;
2;66;S1TS-CAM-023;
2;67;S1TS-DOM-011;
2;68;S1TS-CAM-024;
2;69;S1TN-DOM-003;
2;70;S1TS-CAM-025;
2;71;S1TN-DOM-002;
2;72;S1TS-CAM-026;
2;73;S1TN-CAM-003;
2;74;S1TS-CAM-027;
2;75;S1TN-CAM-002;
2;76;SIGO-CAM-003;
2;77;S1TS-CAM-028;
2;78;S1TN-CAM-001;
2;79;S1TS-DOM-012;
2;80;S1TN-DOM-001;
2;81;S1TS-CAM-029;
2;82;SIGO-DOM-002;
2;193;S2TN-CAM-040;
2;194;S2TN-CAM-041;
2;195;S2TN-DOM-024;
2;196;S2TN-CAM-042;
2;197;SVIP-CAM-001;
2;198;S2TN-CAM-043;
2;199;S2TN-DOM-025;
2;200;S2TN-CAM-044;
2;201;SVIP-DOM-001;
2;202;S2TN-CAM-045;
2;203;S2TN-DOM-026;
2;204;S2TN-CAM-046;
2;205;S2TN-CAM-047;
2;206;S2TN-DOM-027;
2;207;S2TN-CAM-048;
2;208;S2TN-CAM-037;
2;209;S2TN-CAM-038;
2;210;S2TN-DOM-023;
2;211;S2TN-CAM-039;
2;212;S2TN-CAM-036;
2;213;S2TN-DOM-022;
2;214;S2TN-CAM-035;
2;215;S2TN-DOM-021;
2;216;S2TN-CAM-034;
2;217;S2TN-CAM-033;
2;218;S2TN-CAM-032;
2;219;S2TN-DOM-020;
2;220;S2TN-CAM-031;
2;221;SNKO-CAM-001;
2;222;INKO-CAM-003;
2;223;SNKO-CAM-002;
2;224;INKO-CAM-002;
2;225;INKO-CAM-001;
2;226;SNKO-CAM-003;
2;227;SNKO-CAM-004;
2;228;SNKP-CAM-003;
2;229;SNKO-CAM-005;
2;230;SNKP-CAM-001;
2;231;SNKP-CAM-002;
2;232;SNKO-CAM-006;
2;233;SNKO-CAM-007;
2;234;SNKO-CAM-008;
2;235;INKP-CAM-006;
2;236;INKP-CAM-007;
2;237;SNKO-CAM-009;
2;238;INKP-CAM-004;
2;239;INKP-CAM-005;
2;240;INKP-CAM-001;
2;241;INKP-CAM-002;
2;242;INKP-CAM-003;
2;243;SNKO-DOM-001;
2;244;INKP-DOM-001;
2;245;SNKP-DOM-001;
2;246;S2TN-CAM-030;
2;247;S2TN-DOM-019;
2;248;IPRO-CAM-002;
2;249;SAPR-DOM-001;
2;250;S2TN-CAM-029;
2;251;S2TN-CAM-028;
2;252;IPRO-CAM-001;
2;253;S2TN-DOM-018;
2;254;SAPR-CAM-002;
2;255;S2TN-CAM-027;
2;256;IPRO-DOM-001;
2;257;SAPR-CAM-001;
2;258;S2TN-CAM-026;
2;259;S2TN-DOM-017;
2;261;S2TN-CAM-025;
2;262;SMPS-CAM-004;
2;263;S2TN-CAM-024;
2;264;S2TN-DOM-016;
2;265;SMPS-CAM-003;
2;266;SMPS-CAM-002;
2;267;SMPS-CAM-001;
2;268;S2TN-CAM-023;
2;269;S2TN-DOM-015;
2;270;S2TN-CAM-022;
2;271;S2TN-CAM-021;
2;272;S2TN-DOM-014;
2;273;S2TN-CAM-020;
2;274;S2TN-DOM-013;
2;276;S2TN-CAM-019;
2;277;S2TN-CAM-018;
2;278;S2TN-DOM-012;
2;279;S2TN-CAM-017;
2;280;ICCO-CAM-002;
2;281;S2TN-CAM-016;
2;282;ICCO-CAM-001;
2;283;S2TN-DOM-011;
2;284;S2TN-CAM-015;
2;285;S2TN-CAM-014;
